identificatie,naam,code,ligtInProvincieCode,ligtInProvincieNaam,fuuid,area_total,area_m2,n2k_area_natura,pct_natura
GM0263,Maasdriel,"0263","25",Gelderland,gemeentegebied.b5820b2e-b19f-4b17-84f4-348255434e49,75474209.9551149,75474209.9551149,3917138,5.190
GM0441,Schagen,"0441","27",Noord-Holland,gemeentegebied.887786c4-40a2-47c9-acc7-85d6d3db868a,187299408.982698,187299408.982698,1707550,0.912
GM0193,Zwolle,"0193","23",Overijssel,gemeentegebied.47ba42aa-7d95-4e1d-bc2b-2e5f29f8f7c2,119379997.785215,119379997.785215,701809,0.588
GM1711,Echt-Susteren,"1711","31",Limburg,gemeentegebied.2a6fdf46-33cd-482d-af2b-81c68bbc91b0,104618551.074077,104618551.074077,291169,0.278
GM1621,Lansingerland,"1621","28",Zuid-Holland,gemeentegebied.192ffede-2f06-427b-bc98-d7b1aa72c5f5,56400073.0271244,56400073.0271244,,0.000
GM1659,Laarbeek,"1659","30",Noord-Brabant,gemeentegebied.337d7b62-8318-4830-90dd-5ecce4b27759,56172972.4025808,56172972.4025808,,0.000
GM0766,Dongen,"0766","30",Noord-Brabant,gemeentegebied.be5f683f-949e-46a1-93bd-16cdb5e55c17,29743672.2475586,29743672.2475586,,0.000
GM0668,West Maas en Waal,"0668","25",Gelderland,gemeentegebied.60a65f29-7979-45fc-bc41-dc0e94f39ff3,85223545.3197754,85223545.3197754,6227519,7.307
GM0848,Son en Breugel,"0848","30",Noord-Brabant,gemeentegebied.bbd7dbec-1e6d-4e8c-9ae2-a0ca6bcdbc75,26510045.1271722,26510045.1271722,,0.000
GM0484,Alphen aan den Rijn,"0484","28",Zuid-Holland,gemeentegebied.f8543423-f691-484f-9df8-55aa5be1ac92,132515956.867876,132515956.867876,1162162,0.877
GM1978,Molenlanden,"1978","28",Zuid-Holland,gemeentegebied.985f7255-0432-499c-9c64-4b6ed8dab670,191613894.203589,191613894.203589,2324541,1.213
GM0626,Voorschoten,"0626","28",Zuid-Holland,gemeentegebied.41603d0a-e1ba-4f86-91e3-573c85dbfe34,11560975.2948698,11560975.2948698,,0.000
GM1876,Bronckhorst,"1876","25",Gelderland,gemeentegebied.f85f4065-8456-4428-89a3-be241e56a12e,286462254.058696,286462254.058696,5091074,1.777
GM0106,Assen,"0106","22",Drenthe,gemeentegebied.b6d5cd74-8335-4682-9e66-7ff9130126e8,83452084.7203274,83452084.7203274,3759341,4.505
GM1991,Maashorst,"1991","30",Noord-Brabant,gemeentegebied.8fd4ae74-084d-4323-98ee-14c211cf2388,138258563.926731,138258563.926731,,0.000
GM0537,Katwijk,"0537","28",Zuid-Holland,gemeentegebied.97bc46e1-bdbe-4778-ad95-cb0f4512138b,31150575.4862522,31150575.4862522,538124,1.727
GM0383,Castricum,"0383","27",Noord-Holland,gemeentegebied.7f4f1ce4-77ec-4a95-aab5-7715aa7e250a,60411382.007251,60411382.007251,15894069,26.310
GM0479,Zaanstad,"0479","27",Noord-Holland,gemeentegebied.7307bddb-d176-41c6-a2a7-ce4043dcd5b2,83247610.9739734,83247610.9739734,9929,0.012
GM0109,Coevorden,"0109","22",Drenthe,gemeentegebied.bd6d3908-ecd4-4771-a5c9-31aa34916f3c,299698580.867742,299698580.867742,,0.000
GM1895,Oldambt,"1895","20",Groningen,gemeentegebied.9dca399c-af96-4b81-b023-4d3a16749b22,295916497.235819,295916497.235819,61879542,20.911
GM0301,Zutphen,"0301","25",Gelderland,gemeentegebied.06d3f756-fc64-4df8-bdb7-bf2936503969,42940551.6588912,42940551.6588912,1834517,4.272
GM1966,Het Hogeland,"1966","20",Groningen,gemeentegebied.c6ebfa48-dbbc-4b27-9b9e-6d0e18f7f559,902956676.713611,902956676.713611,33782834,3.741
GM0189,Wierden,"0189","23",Overijssel,gemeentegebied.8537187f-bcbe-449b-b14b-a5b4544180e2,95397929.6009509,95397929.6009509,4184108,4.386
GM0275,Rheden,"0275","25",Gelderland,gemeentegebied.fe86a860-0dfb-41a7-b286-9e5c7525c2ef,84361539.7666035,84361539.7666035,40974506,48.570
GM0158,Haaksbergen,"0158","23",Overijssel,gemeentegebied.3d28bcfd-6f5f-4b8e-a5cc-7673bb3ed986,105507621.810064,105507621.810064,12407311,11.760
GM1586,Oost Gelre,"1586","25",Gelderland,gemeentegebied.817270da-0ae7-472b-a782-58e749928bb9,110446605.574837,110446605.574837,2012340,1.822
GM0345,Veenendaal,"0345","26",Utrecht,gemeentegebied.fc256c0a-7de5-41c5-b8a8-74257044745f,19727716.1293026,19727716.1293026,630057,3.194
GM0546,Leiden,"0546","28",Zuid-Holland,gemeentegebied.b36287c5-aadf-48b3-bf7a-c17fb1501e86,23273459.0396275,23273459.0396275,,0.000
GM1658,Heeze-Leende,"1658","30",Noord-Brabant,gemeentegebied.379e3d40-736c-47a1-aaa7-79a7b6f664ed,105053884.416629,105053884.416629,9418379,8.965
GM1774,Dinkelland,"1774","23",Overijssel,gemeentegebied.5fd0ba5e-175f-4fe4-a209-6447a0ad6bb9,176834437.142913,176834437.142913,1326437,0.750
GM0703,Reimerswaal,"0703","29",Zeeland,gemeentegebied.7282f576-f515-4277-8c51-b273cf0a0408,242420256.375067,242420256.375067,1758018,0.725
GM0758,Breda,"0758","30",Noord-Brabant,gemeentegebied.998e77dc-f1e0-4796-8bc3-cc29f366d5c8,128694832.409646,128694832.409646,1123133,0.873
GM1721,Bernheze,"1721","30",Noord-Brabant,gemeentegebied.6114b9ab-19eb-4bd6-b423-604b774d630d,90429016.7510005,90429016.7510005,,0.000
GM0375,Beverwijk,"0375","27",Noord-Holland,gemeentegebied.0cd96a8b-b626-40a9-8af8-05db3ec59481,20089513.108835,20089513.108835,503600,2.507
GM0296,Wijchen,"0296","25",Gelderland,gemeentegebied.169834c4-7963-42ec-a1ba-2137c8d935b7,69574850.2413699,69574850.2413699,,0.000
GM1948,Meierijstad,"1948","30",Noord-Brabant,gemeentegebied.2cffce98-3c35-4192-be45-46fee073922e,185544533.575859,185544533.575859,,0.000
GM1783,Westland,"1783","28",Zuid-Holland,gemeentegebied.f2ef8c33-a22a-43cb-9aee-c3ae81d4f0b9,90745542.9147209,90745542.9147209,4388894,4.836
GM0160,Hardenberg,"0160","23",Overijssel,gemeentegebied.eef4a60d-18c0-4159-8ea0-f6a0d4b727f4,317174215.272009,317174215.272009,0,0.000
GM0289,Wageningen,"0289","25",Gelderland,gemeentegebied.c8b8c2b4-60fa-4b7a-84a9-53c18d153196,32365518.7469393,32365518.7469393,4551578,14.063
GM1940,De Fryske Marren,"1940","21",Fryslân,gemeentegebied.c3ab8091-21a4-443a-8ba9-66ec2421b6f8,549155471.759016,549155471.759016,129800439,23.636
GM1883,Sittard-Geleen,"1883","31",Limburg,gemeentegebied.ce936532-a15e-477d-b4e7-e88c7272bb7a,80582103.3075966,80582103.3075966,282330,0.350
GM0299,Zevenaar,"0299","25",Gelderland,gemeentegebied.41dca79a-c107-42a2-af97-d05eefcacb7b,106120012.194574,106120012.194574,15655174,14.752
GM0351,Woudenberg,"0351","26",Utrecht,gemeentegebied.012b7d49-92be-479a-a8a3-e6189d115386,36828796.7903948,36828796.7903948,,0.000
GM1667,Reusel-De Mierden,"1667","30",Noord-Brabant,gemeentegebied.ed05d1ad-29bd-4748-9d66-f9dbb07086e4,78670275.4338253,78670275.4338253,3342234,4.248
GM0034,Almere,"0034","24",Flevoland,gemeentegebied.1166f9e6-8b37-49ea-9a4d-9b4630abded0,248808923.073835,248808923.073835,20278,0.008
GM0307,Amersfoort,"0307","26",Utrecht,gemeentegebied.b6b44340-8255-4d63-ad19-3846eda4658b,63872516.2445864,63872516.2445864,,0.000
GM0828,Oss,"0828","30",Noord-Brabant,gemeentegebied.d0941429-c04c-4830-8362-b61780efbc65,170947239.420517,170947239.420517,,0.000
GM1842,Midden-Delfland,"1842","28",Zuid-Holland,gemeentegebied.00c18a02-071e-4b0f-9bd2-82df97c0cee6,49384226.398702,49384226.398702,,0.000
GM1924,Goeree-Overflakkee,"1924","28",Zuid-Holland,gemeentegebied.5492540f-4607-44a8-8148-136693ff52c5,422373972.301743,422373972.301743,7983089,1.890
GM0534,Hillegom,"0534","28",Zuid-Holland,gemeentegebied.d763aa94-91f5-497d-890d-a835fb073bcf,13467290.2612769,13467290.2612769,,0.000
